Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Afghanistan,AFG,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Albania,ALB,30.9361224858484
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Algeria,DZA,20.407941949491
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,American Samoa,ASM,61.6692426584235
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Andorra,AND,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Angola,AGO,40.7907550532833
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Antigua and Barbuda,ATG,69.1646948026456
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Argentina,ARG,17.9248783778462
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Armenia,ARM,41.3508013620849
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Aruba,ABW,73.2345915426225
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Australia,AUS,24.1596779983146
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Austria,AUT,55.8958073929339
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Azerbaijan,AZE,49.0506275016423
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Bahamas, The",BHS,34.9807938540333
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bahrain,BHR,73.0944239873751
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bangladesh,BGD,13.0947573353039
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Barbados,BRB,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Belarus,BLR,65.0945839929757
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Belgium,BEL,82.9674275396401
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Belize,BLZ,51.8569693924549
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Benin,BEN,29.6305271935478
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bermuda,BMU,51.7434243981752
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bhutan,BTN,31.4575032617598
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bolivia,BOL,24.9672622840166
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bosnia and Herzegovina,BIH,40.0400711149533
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Botswana,BWA,37.0878176552067
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brazil,BRA,14.1229191913178
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,British Virgin Islands,VGB,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brunei Darussalam,BRN,57.9460406090157
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bulgaria,BGR,64.1822870820611
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Burkina Faso,BFA,29.2576956572794
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Burundi,BDI,5.17203999926172
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cabo Verde,CPV,46.7050331370949
